ts	phase	decision	why	evidence	result
2026-08-24T19:10:00Z	corpus	select a pinned FLEURS clean-read subset	CC-BY-4.0 permits redistribution with attribution and individual 16 kHz files avoid multi-gigabyte archive acquisition	benchmarks/stt/corpus-fleurs.json	20 fixtures, five languages
2026-08-24T19:15:00Z	coverage	keep the production corpus gate open	FLEURS does not represent project dictation, technical identifiers, fast/quiet speech, noise, false starts, silence, or nonspeech	benchmarks/stt/corpus-fleurs.json	base slice only
2026-08-24T19:20:00Z	benchmark	use one Vulkan-capable runtime for both modes	upstream --no-gpu gives a same-binary CPU negative control through Echo's shipping CLI	--whisper-no-gpu and benchmark cpu-only candidate	accepted
2026-08-24T19:35:00Z	host matrix	leave other identities pending	one Intel iGPU cannot establish AMD, NVIDIA Vulkan, NVIDIA CUDA, Turbo, reboot/reset, or minimum-memory behavior	docs/plans/13-cross-hardware-whisper/overview.md	pending, not inferred
2026-08-24T19:36:00Z	intel base	supersede debug timing evidence	independent statistics review found that the first 400-row matrix used the debug Echo binary	multi-model statistics review	rerun required
2026-08-24T19:53:11Z	intel base	stop this accelerated identity	optimized-binary warmed median improves 54.2 percent and 761 ms with lower p95, but Dutch WER regresses by 9.459 absolute percentage points	.audit/whisper-phase2-intel-base	release performance pass, quality fail
2026-08-24T19:55:00Z	review	fix all valid independent findings	manifest validation, revision and redirect enforcement, streaming byte limits, hallucination and provenance gates, explicit corpus shape, release rerun, and early CLI validation were required	scripts/fetch-stt-corpus.py; scripts/analyze-stt-host-matrix.py; src-tauri/src/cli.rs	three clean re-reviews
2026-08-24T19:57:50Z	verification	accept the implementation for PR	clippy, workspace tests, frontend type/lint/unit/build/responsive, product readiness scripts, corpus full fetch, benchmark/probe/archive gates, release build, icons, desktop entry, and changelog checks passed	local verification	green
2026-08-24T19:59:49Z	deslop	make nested runtime paths portable	staged-payload inspection found the nested Whisper runtime binary still exposed a machine-local path despite portable top-level identities	scripts/benchmark-stt.py; .audit/whisper-phase2-intel-base/runs.jsonl	fixed and benchmark verifier green
2026-08-24T20:26:07Z	PR review	make all unmeasured acceptance criteria hard gates	GitHub review found reset/cache evidence and driver/ICD identity could not remain claim-boundary prose, and unrelated candidates must not poison pair analysis	scripts/analyze-stt-host-matrix.py; scripts/benchmark-stt.py	three P2 findings fixed
